# threads	schedule	chunk_size	time	speedup
76	guided	16	5.97155	13.75
76	auto	1	5.74009	14.3044
76	auto	4	5.78594	14.1911
76	auto	8	5.78989	14.1814
76	auto	16	5.98828	13.7116
78	static	1	6.53072	12.5727
78	static	4	6.36454	12.901
78	static	8	6.20783	13.2266
78	static	16	6.17505	13.2969
78	dynamic	1	6.39018	12.8492
78	dynamic	4	6.2151	13.2112
78	dynamic	8	5.59781	14.668
78	dynamic	16	5.2383	15.6747
78	guided	1	5.77751	14.2118
78	guided	4	5.3736	15.28
78	guided	8	5.44678	15.0747
78	guided	16	5.98544	13.7181
78	auto	1	6.3178	12.9964
78	auto	4	5.86308	14.0044
78	auto	8	5.07564	16.177
78	auto	16	6.03183	13.6126
80	static	1	6.85194	11.9833
80	static	4	6.41677	12.796
80	static	8	6.51937	12.5946
80	static	16	6.53542	12.5637
80	dynamic	1	6.5055	12.6214
80	dynamic	4	6.32415	12.9834
80	dynamic	8	5.48045	14.9821
80	dynamic	16	5.31031	15.4622
80	guided	1	5.92252	13.8638
80	guided	4	5.94105	13.8206
80	guided	8	5.58738	14.6954
80	guided	16	6.23131	13.1768
80	auto	1	5.50336	14.9198
80	auto	4	5.7176	14.3607
80	auto	8	6.01485	13.651
80	auto	16	5.38639	15.2437
